Dia Futuro;Point.Forecast;Lo.80;Hi.80;Lo.95;Hi.95
1;58.62975929;31.5086072;85.75091139;17.15153653;100.1079821
2;67.09833695;39.9698584;94.22681551;25.60890933;108.5877646
3;89.55980044;62.42512386;116.694477;48.06089375;131.0587071
4;76.64229056;46.25923334;107.0253478;30.17541439;123.1091667
5;73.57439406;42.29858997;104.8501982;25.74217939;121.4066087
6;84.00465791;52.577156;115.4321598;35.94044144;132.0688744
7;82.84226021;50.31171058;115.3728098;33.09107783;132.5934426
8;80.30957018;46.79264962;113.8264907;29.04986363;131.5692767
9;84.41789092;50.45467431;118.3811075;32.47563346;136.3601484
10;86.02927434;51.37156989;120.6869788;33.02488939;139.0336593
11;85.41954911;49.94833648;120.8907617;31.17101076;139.6680875
12;87.16935942;51.1057982;123.2329206;32.01490208;142.3238168
13;88.92660614;52.25000105;125.6032112;32.83457911;145.0186332
14;89.4631247;52.0989548;126.8272946;32.31955804;146.6066914
15;90.58471669;52.60186063;128.5675728;32.49495119;148.6744822
16;92.0537541;53.47752194;130.6299863;33.05649818;151.05101
17;93.05337152;53.85769585;132.2490472;33.1087585;152.9979845
18;94.10022281;54.30372519;133.8967204;33.23673191;154.9637137
19;95.36643249;54.99138779;135.7414772;33.61813018;157.1147348
20;96.50245319;55.54623994;137.4586664;33.86533028;159.1395761
21;97.58812664;56.05732082;139.1189325;34.07224023;161.104013
22;98.76524541;56.6738635;140.8566273;34.39203186;163.138459
23;99.92421978;57.27747381;142.5709657;34.70165019;165.1467894
24;101.0447764;57.84773082;144.2418219;34.98059619;167.1089566
25;102.1932263;58.45487919;145.9315733;35.30119686;169.0852557
26;103.3480371;59.07506156;147.6210127;35.63836401;171.0577102
27;104.4853908;59.68309526;149.2876864;35.96619261;173.0045891
28;105.6278851;60.30293351;150.9528366;36.30935349;174.9464166
29;106.7769045;60.9355651;152.6182438;36.6686259;176.885183
30;107.9201243;61.56775839;154.2724902;37.03029808;178.8099505
